"Title","Platform","Collection/Wishlist"
"(Snes)Harvest Moon","Super NES",Collection
"*Nintendo Wii White","Wii",Collection
"007 GoldenEye","Nintendo 64",Collection
"7th Saga, The","Super NES",Collection
"Ace Of Aces","Sega Master System",Collection
"ActRaiser","Super NES",Collection
"Action Fighter","Sega Master System",Collection
"Actraiser 2 - SNES - Super Nintendo - Nur Modul -","Super NES",Collection
"Adventure Island 2","NES",Collection
"Adventure Island 3","NES",Collection
"Adventures In The Magic Kingdom","NES",Collection
"Adventures Of Link","NES",Collection
"Adventures Of Lolo 2","NES",Collection
"Adventures Of Lolo 3","NES",Collection
"Adventures Of Rad Gravity, The","NES",Collection
"Adventures of Lolo","NES",Collection
"After Burner","Sega Master System",Collection
"Air Rescue","Sega Master System",Collection
"Aladdin","Sega Master System",Collection
"Aladdin","Super NES",Collection
"Alex Kidd In Miracle World","Sega Master System",Collection
"Alex Kidd In Shinobi World","Sega Master System",Collection
"Alex Kidd The Lost Stars","Sega Master System",Collection
"Alex Kidd: High-Tech World","Sega Master System",Collection
"Alien 3","Sega Master System",Collection
"Alien Storm","Sega Master System",Collection
"Alien Syndrome","Sega Master System",Collection
"Altered Beast","Sega Master System",Collection
"Alundra 2","Playstation",Collection
"American Baseball","Sega Master System",Collection
"American Pro Football","Sega Master System",Collection
"Andre Agassi Tennis","Sega Master System",Collection
"Arcade Smash Hits","Sega Master System",Collection
"Assassin’s Creed 2","PS3",Collection
"Assassin’s Creed","PS3",Collection
"Assault City","Sega Master System",Collection
"Assault City","Sega Master System",Collection
"Asterix & Obelix","Super NES",Collection
"Asterix CIB A","Sega Master System",Collection
"Asterix and the Great Rescue","Sega Master System",Collection
"Astro Warrior / Pit Pot","Sega Master System",Collection
"Astyanax","NES",Collection
"Astérix","Super NES",Collection
"Astérix and the Great Rescue","Sega Megadrive",Collection
"Ayrton Senna’s Super Monaco GP II","Sega Master System",Collection
"Aztec Adventure","Sega Master System",Collection
